date;TE0037;TE0038;TE0039;TE0040;TE0041;TE0042;TE0043;TE0044;TE0045;TE0046;TE0047;TE0048;TE1001;TE1002;TE1003;TE1004;TE0049;TE0050;TE0051;TE0052;TE0053;TE0054;TE0055;TE0056;TE0057;TE0058;TE0059;TE0060;PE0006;
1504335108;102.03000;103.65000;106.52000;118.09000;100.48000;103.00000;107.50000;118.30000;102.39000;104.10000;106.28000;119.17000;100.12000;102.61000;106.95000;118.09000;87.62600;87.53700;87.46700;87.45900;87.44800;87.43900;87.43100;87.35500;99.43500;110.12000;119.60000;129.05000;999.29999;
1504335113;102.03000;103.65000;106.52000;118.09000;100.48000;103.00000;107.50000;118.30000;102.39000;104.10000;106.28000;119.17000;100.11000;102.61000;106.93000;118.05000;87.62600;87.53700;87.46700;87.45900;87.44800;87.43900;87.43100;87.35500;99.43500;110.12000;119.60000;129.05000;998.88000;
1504335125;102.02000;103.64000;106.51000;118.09000;100.48000;102.97000;107.49000;118.27000;102.37000;104.10000;106.28000;119.17000;100.11000;102.61000;106.93000;118.05000;87.62600;87.53700;87.46700;87.45900;87.44800;87.43900;87.43100;87.35500;99.43500;110.12000;119.60000;129.05000;998.88000;
1504335127;102.02000;103.64000;106.51000;118.09000;100.48000;102.97000;107.49000;118.27000;102.37000;104.10000;106.27000;119.14000;100.11000;102.61000;106.93000;118.05000;87.63900;87.55400;87.48100;87.46600;87.43000;87.47300;87.40000;87.40500;99.43200;110.11000;119.57000;129.03000;998.88000;
1504335131;102.02000;103.64000;106.51000;118.09000;100.48000;102.97000;107.49000;118.27000;102.37000;104.10000;106.27000;119.14000;100.10000;102.59000;106.92000;118.02000;87.63900;87.55400;87.48100;87.46600;87.43000;87.47300;87.40000;87.40500;99.43200;110.11000;119.57000;129.03000;999.01001;
1504335142;102.01000;103.62000;106.49000;118.05000;100.46000;102.95000;107.46000;118.25000;102.36000;104.09000;106.26000;119.14000;100.10000;102.59000;106.92000;118.02000;87.63900;87.55400;87.48100;87.46600;87.43000;87.47300;87.40000;87.40500;99.43200;110.11000;119.57000;129.03000;999.01001;
1504335144;102.01000;103.62000;106.49000;118.05000;100.46000;102.95000;107.46000;118.25000;102.36000;104.09000;106.26000;119.10000;100.10000;102.59000;106.92000;118.02000;87.67200;87.54500;87.47200;87.47700;87.43300;87.45500;87.37200;87.36700;99.37200;110.10000;119.55000;129.00000;999.01001;
1504335149;102.01000;103.62000;106.49000;118.05000;100.46000;102.95000;107.46000;118.25000;102.36000;104.09000;106.26000;119.10000;100.08000;102.59000;106.90000;117.99000;87.67200;87.54500;87.47200;87.47700;87.43300;87.45500;87.37200;87.36700;99.37200;110.10000;119.55000;129.00000;999.08002;
1504335159;102.01000;103.60000;106.48000;118.03000;100.47000;102.94000;107.43000;118.22000;102.33000;104.07000;106.24000;119.07000;100.08000;102.59000;106.90000;117.99000;87.64000;87.55300;87.47200;87.47700;87.43300;87.45500;87.37200;87.36700;99.37200;110.10000;119.55000;129.00000;999.08002;
1504335161;102.01000;103.60000;106.48000;118.03000;100.47000;102.94000;107.43000;118.22000;102.33000;104.07000;106.24000;119.07000;100.08000;102.59000;106.90000;117.99000;87.64000;87.55300;87.47500;87.45100;87.42500;87.43700;87.39900;87.39800;99.37000;110.08000;119.53000;128.98000;999.08002;
1504335166;102.01000;103.60000;106.48000;118.03000;100.47000;102.94000;107.43000;118.22000;102.33000;104.07000;106.24000;119.07000;100.08000;102.63000;106.88000;117.97000;87.64000;87.55300;87.47500;87.45100;87.42500;87.43700;87.39900;87.39800;99.37000;110.08000;119.53000;128.98000;998.21002;
1504335176;101.98000;103.60000;106.45000;117.99000;100.44000;102.92000;107.43000;118.20000;102.34000;104.06000;106.21000;119.05000;100.08000;102.63000;106.88000;117.97000;87.63700;87.55300;87.47500;87.45100;87.42500;87.43700;87.39900;87.39800;99.37000;110.08000;119.53000;128.98000;998.21002;
1504335178;101.98000;103.60000;106.45000;117.99000;100.44000;102.92000;107.43000;118.20000;102.34000;104.06000;106.21000;119.05000;100.08000;102.63000;106.88000;117.97000;87.63700;87.54100;87.44700;87.46100;87.44100;87.49200;87.41400;87.38300;99.34300;110.06000;119.51000;128.95000;998.21002;
